Diet Name,Ingredients,Instructions,Cooking Time,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugars (g),Sodium (g),Category,Allergens,Cuisine Type,Dietary Tags,Cooking Method,Dietary Restrictions,Vegetarian,Meal Type
Jollof Rice,"Rice, tomatoes, onions, peppers, spices",Cook rice with tomato sauce and spices.,50 min,450,7.5,85.2,10.3,4.5,6,300,Main,None,Ghanaian,High in Carbs,Boiled,None,Yes,Lunch
Banku and Tilapia,"Banku, tilapia, tomatoes, onions, spices",Cook tilapia with banku and spices.,60 min,500,30.2,70.6,15.2,4,0,350,Main,Fish,Ghanaian,"High in Protein, Carbs",Grilled,None,No,Dinner
Kenkey and Fish,"Kenkey, fish, tomatoes, onions, spices",Cook fish with kenkey and spices.,60 min,450,25.3,60.4,12.5,3.7,0,300,Main,Fish,Ghanaian,"High in Protein, Carbs",Boiled,None,No,Dinner
Fried Rice,"Rice, vegetables, spices, oil",Fry rice with vegetables and spices.,30 min,400,8.2,60.3,12.1,3.4,0,200,Main,None,Ghanaian,High in Carbs,Fried,None,Yes,Lunch
Rice Balls,"Rice, tomato sauce, spices",Cook rice and form into balls with sauce.,45 min,350,7.8,60.1,2.8,0,0,150,Main,None,Ghanaian,High in Carbs,Boiled,None,Yes,Snack
Rice and Beans,"Rice, beans, tomatoes, onions, spices",Cook rice with beans and spices.,50 min,400,12.4,65.3,6.2,0,0,300,Main,None,Ghanaian,"High in Carbs, Protein",Boiled,None,Yes,Lunch
Maafe,"Groundnuts, meat, vegetables, tomatoes, onions, spices",Cook groundnuts with meat and vegetables.,60 min,500,25.5,20.6,10.4,5.6,0,350,Main,"Nuts, Meat",Ghanaian,High in Protein,Stewed,None,No,Dinner
Fried Plantains,"Plantains, oil",Fry plantains in oil.,20 min,350,1.8,20.5,3.2,10.1,0,150,Snack,None,Ghanaian,High in Carbs,Fried,None,Yes,Snack
Boiled Yam,Yam,Boil yam until tender.,30 min,290,3.2,60.5,2.6,0,0,10,Side Dish,None,Ghanaian,High in Carbs,Boiled,None,Yes,Dinner
Yam Balls,"Yam, spices, oil",Form boiled yam into balls and fry.,40 min,350,4.1,20.3,2.7,0,0,150,Snack,None,Ghanaian,High in Carbs,Fried,None,Yes,Snack
Grilled Tilapia,"Tilapia, spices, oil",Grill tilapia with spices.,30 min,200,25.3,10.2,2.1,0,0,150,Main,Fish,Ghanaian,High in Protein,Grilled,None,No,Dinner
