Workout Name,Duration (minutes),Type of Exercise,Intensity,Reps,Sets,Distance (km),Activity Level
Jumping Jacks,10,Cardio,High,0,0,1.5,Very Active
Push-Ups,15,Strength,Moderate,12,3,0,Moderately Active
Squats,15,Strength,Moderate,15,3,0,Moderately Active
Running,20,Cardio,High,0,0,5,Extremely Active
Plank,5,Core,Moderate,0,0,0,Lightly Active
Burpees,10,Cardio/Strength,High,10,3,0,Very Active
Deadlifts,15,Strength,High,10,4,0,Very Active
Bicep Curls,15,Strength,Moderate,15,3,0,Moderately Active
Cycling,20,Cardio,Moderate,0,0,10,Moderately Active
Mountain Climbers,10,Cardio/Strength,High,20,3,0,Very Active
Jump Squats,15,Strength/Cardio,High,15,3,0,Very Active
Bench Press,15,Strength,High,12,3,0,Very Active
Leg Raises,10,Core,Moderate,15,3,0,Moderately Active
High Knees,10,Cardio,High,0,0,1.2,Very Active
Kettlebell Swings,15,Strength/Cardio,High,15,3,0,Very Active
Tricep Dips,15,Strength,Moderate,12,3,0,Moderately Active
Side Plank,10,Core,Moderate,0,0,0,Lightly Active
Russian Twists,10,Core,Moderate,20,3,0,Moderately Active
Dumbbell Rows,15,Strength,Moderate,15,3,0,Moderately Active
Jump Rope,15,Cardio,High,0,0,1.5,Very Active
Bodyweight Lunges,15,Strength,Moderate,12,3,0,Moderately Active
Box Jumps,10,Cardio/Strength,High,15,3,0,Extremely Active
Standing Calf Raises,15,Strength,Moderate,20,3,0,Moderately Active
Ab Rollouts,15,Core,High,15,3,0,Very Active
Dumbbell Shoulder Press,15,Strength,Moderate,12,3,0,Moderately Active
Sit-Ups,15,Core,Moderate,20,3,0,Moderately Active
Side Lunges,15,Strength,Moderate,15,3,0,Moderately Active
Treadmill Running,20,Cardio,Moderate,0,0,4,Moderately Active
Dumbbell Bench Press,15,Strength,High,12,3,0,Very Active
Wall Sit,10,Strength,Moderate,0,0,0,Lightly Active
Jumping Lunges,15,Strength/Cardio,High,15,3,0,Very Active
Bicycle Crunches,10,Core,Moderate,20,3,0,Moderately Active
Overhead Press,15,Strength,High,12,3,0,Very Active
Skater Jumps,15,Cardio,High,15,3,0,Extremely Active
Chest Flyes,15,Strength,Moderate,15,3,0,Moderately Active
Pull-Ups,15,Strength,High,10,3,0,Very Active
Dumbbell Deadlifts,15,Strength,Moderate,12,3,0,Moderately Active
Glute Bridges,15,Strength,Moderate,20,3,0,Moderately Active
Jump Squats,10,Strength/Cardio,High,15,3,0,Very Active
Lat Pulldowns,15,Strength,Moderate,15,3,0,Moderately Active
Plank Jacks,10,Cardio,High,0,0,1.5,Very Active
Single-Leg Deadlifts,15,Strength,Moderate,12,3,0,Moderately Active
Bench Dips,10,Strength,Moderate,15,3,0,Moderately Active
Sumo Squats,15,Strength,Moderate,15,3,0,Moderately Active
Standing Russian Twists,10,Core,Moderate,20,3,0,Moderately Active
Cardio Kickboxing,20,Cardio,High,0,0,3,Extremely Active
Renegade Rows,15,Strength,High,12,3,0,Very Active
